Recipient Name,Recipient ID,Grants,Total,Average,Largest,Smallest
Sheldon Community Church,GB-CHC-1069691,1,3000,3000,3000,3000
Shard End Day Centre,360G-BirminghamCC-shard_end_day_centre,1,1200,1200,1200,1200
Shard End & Tile Cross Communities,360G-BirminghamCC-shard_end_tile_cross_communities,4,6426,1606,3500,250
Shanti Womens Group,360G-BirminghamCC-shanti_womens_group,2,500,250,250,250
Shaheed Udham Singh Welfare Trust (Birmingham),GB-CHC-507576,2,9000,4500,8500,500
Selly Park South N'Hood Forum,360G-BirminghamCC-selly_park_south_nhood_forum,2,1000,500,500,500
Secret City Arts,360G-BirminghamCC-secret_city_arts,3,20539,6846,8307,4257
Saving Sparkhill Swimming Baths,360G-BirminghamCC-saving_sparkhill_swimming_baths,1,500,500,500,500
Sampson Road Resident Association,360G-BirminghamCC-sampson_road_residentassociation,2,10000,5000,5000,5000
Sampad South Asian Arts,GB-COH-04146042,5,121000,24200,80000,3000
Saltley Business Association,GB-COH-05332332,1,2500,2500,2500,2500
Saint Nicolas Place CIC,360G-BirminghamCC-saint_nicolas_place_cic,4,1000,250,250,250
Saint Mark's Community Developments,GB-COH-06208796,1,1000,1000,1000,1000
Royal Artillery Association,360G-BirminghamCC-royal_artillery_association,2,4000,2000,2000,2000
Rosemount Residents Association,360G-BirminghamCC-rosemount_residents_association,2,1000,500,500,500
Rosemarie Centre Limited,GB-COH-05539913,3,52587,17529,25619,13484
Rogueplay Theatre Ltd,GB-COH-06928349,2,8092,4046,5092,3000
Rise And Shine 4U,360G-BirminghamCC-rise_and_shine_4u,1,2000,2000,2000,2000
Reverend C O Nyanni,360G-BirminghamCC-reverend_c_o_nyanni,3,7500,2500,2500,2500
Rethink,GB-COH-04396376,3,313215,104405,149230,74615
Reel Access (co-ordinators of Hodge Hill Arts Forum),GB-COH-05935237,2,14530,7265,9530,5000
Reaside Community Centre,360G-BirminghamCC-reaside_community_centre,1,3670,3670,3670,3670
Re Future,GB-COH-10023927 ,1,2965,2965,2965,2965
Rainbow Care & Support,360G-BirminghamCC-rainbow_care_support,2,26365,13182,22776,3588
Quinton Local History Society,360G-BirminghamCC-quinton_local_history_society,1,1912,1912,1912,1912
Quinton Bright Futures,360G-BirminghamCC-quinton_bright_futures,3,4065,1355,1900,265
Quinborne Community Association,GB-COH-07372879,8,7500,937,1500,250
Purbanat Community Interest Co Ltd,360G-BirminghamCC-purbanat_community_interest_co_ltd,1,10000,10000,10000,10000
Punch Records Dj Workshops Ltd,GB-COH-04358686,4,75000,18750,40000,9000
Professional Incredibles,360G-BirminghamCC-professional_incredibles,4,23000,5750,12000,3000
Primrose Hill Community Project Ltd,GB-COH-03948532,1,1700,1700,1700,1700
Pohwer,GB-COH-03323040,2,27692,13846,27539,153
Podnosh Ltd,GB-COH-07029099,2,6744,3372,6120,624
Philip Potter,360G-BirminghamCC-philip_potter,2,3400,1700,1700,1700
Perry Beeches The Academy,GB-COH-07749786,2,500,250,250,250
Perry Beeches Art Group,360G-BirminghamCC-perry_beeches_art_group,2,1000,500,500,500
Perry Aston Residents Association,360G-BirminghamCC-perry_aston_residents_association,2,1000,500,500,500
Performances Birmingham Ltd,GB-COH-03169600,6,5679400,946566,3970000,400
People in Partnership,GB-CHC-1002294,2,59799,29899,39178,20620
Parks For Play,GB-COH-06950288,2,25000,12500,20000,5000
Parent Support Network,360G-BirminghamCC-parent_support_network,2,800,400,500,300
PEA,GB-COH-08043154,3,10500,3500,5000,2500
Over 50'S Community Group,360G-BirminghamCC-over_50s_community_group,1,600,600,600,600
Out & About Group,360G-BirminghamCC-out_about_group,1,250,250,250,250
Our Place Kings Norton,GB-COH-06965421,2,3174,1587,2599,575
Our Little Angelz Ltd,GB-COH-08447790,1,2500,2500,2500,2500
Our Lady Of Fatima Over 60'S Club,360G-BirminghamCC-our_lady_of_fatima_over_60s_club,1,500,500,500,500
Our Community CIC,GB-COH-06599550,2,7000,3500,5000,2000
Oscott Residents Group Association,360G-BirminghamCC-oscott_residents_group_association,5,668,133,300,46
Oscott Elderley Residents Group,360G-BirminghamCC-oscott_elderley_residents_group,2,700,350,500,200
Oscar (Birmingham) Ltd,GB-COH-05311442,6,12823,2137,4663,1165
Ort Gallery CIC,GB-COH-08737284,2,16581,8290,9081,7500
Open Art,360G-BirminghamCC-open_art,2,500,250,250,250
One20 Ltd,GB-COH-03695114,1,25013,25013,25013,25013
Older People's New Opportunities Consortium (Opnocs),GB-CHC-1095932,5,46250,9250,18500,4625
Octavius Learning & Development,GB-COH-LP016085,1,5000,5000,5000,5000
Norton Hall Children & Family Centre,GB-COH-05052641,10,13665,1366,3700,225
Northfield Town Centre Partnership (NTCP),GB-COH-04349864,3,25500,8500,15000,500
Northfield Stakeholders' Group,360G-BirminghamCC-northfield_stakeholders_group,1,500,500,500,500
Northfield Carnival Committee,360G-BirminghamCC-northfield_carnival_committee,4,800,200,500,100
Northfield Arts Forum,360G-BirminghamCC-northfield_arts_forum,4,33750,8437,13660,2000
North Zone Neighbourhood Watch,360G-BirminghamCC-north_zone_neighbourhood_watch,3,1500,500,1000,250
North Tyneside District Disability Forum,GB-COH-01446309,8,289220,36152,200000,3000
North Summerfield Residents Assn,360G-BirminghamCC-north_summerfield_residents_assn,2,4000,2000,2000,2000
No. 11 Arts Ltd,GB-COH-10058190,1,10000,10000,10000,10000
Nishkam Civic Association,GB-COH-04378505,2,1000,500,500,500
Newtown Cultural Project Ltd,GB-COH-02959127,3,768000,256000,760000,4000
New Testament Church Of God,360G-BirminghamCC-new_testament_church_of_god,3,1500,500,500,500
New Siakh Cricket Club,360G-BirminghamCC-new_siakh_cricket_club,1,500,500,500,500
New Heights - Warren Farm Community Project,GB-COH-06021283,2,4000,2000,2000,2000
New Hall Valley Country Park,360G-BirminghamCC-new_hall_valley_country_park,2,1090,545,545,545
Nechell Pod CIC,GB-COH-08075946,1,5000,5000,5000,5000
Nash Dom CIC,GB-COH-07246897,1,500,500,500,500
Mykal Wassifa Brown Cic,GB-COH-08922489,1,35529,35529,35529,35529
Music For Youth,GB-COH-01611491,1,4500,4500,4500,4500
Moseley in Bloom,GB-CHC-1141664,1,3000,3000,3000,3000
Moseley Forum,360G-BirminghamCC-moseley_forum,5,7500,1500,1500,1500
Moseley Community Development Trust,GB-COH-04163271,2,10150,5075,10000,150
Momentum,360G-BirminghamCC-momentum,5,124351,24870,47295,11823
Milebrook Community Hall,360G-BirminghamCC-milebrook_community_hall,1,5000,5000,5000,5000
Midlands Community Group CIC,360G-BirminghamCC-midlands_community_group_cic,1,4000,4000,4000,4000
Midlands Arts Centre Charity,GB-COH-00718349,2,8000,4000,4000,4000
Midland Mencap,GB-COH-03006451,7,743707,106243,222537,55634
Midland Heart,GB-COH-05743218,16,682213,42638,142930,8000
Midland Actors Theatre,GB-COH-04322413,1,2500,2500,2500,2500
Middlemore Rd Sheltered Housing,360G-BirminghamCC-middlemore_rd_sheltered_housing,2,600,300,300,300
Mercurial Arts Ltd,GB-COH-06635326,1,10000,10000,10000,10000
Maryvale Youth Club,360G-BirminghamCC-maryvale_youth_club,2,1750,875,1250,500
Macphersons Appliances Direct,GB-COH-02269076 ,1,35030,35030,35030,35030
Lozells Methodist Church,GB-CHC-1145219,2,1000,500,500,500
Loudeemy Productions,360G-BirminghamCC-loudeemy_productions,4,26090,6522,9290,3300
Longbridge Methodist Church Day Ctr,360G-BirminghamCC-longbridge_methodist_church_dc,7,17185,2455,6474,500
Little Bird Community Arts,GB-COH-08251739,1,9750,9750,9750,9750
Lisieux Trust,GB-COH-08295130,3,31875,10625,21250,678
Life Education Centres West Midlands,GB-COH-02820677,7,6500,928,2640,400
Legacy  Wm,GB-CHC-1141498,2,10500,5250,10000,500
"Law, Leisure & Learning Ltd",GB-COH-03491562,1,800,800,800,800
Late Late Youth Club,360G-BirminghamCC-late_late_youth_club,3,450,150,200,50
Ladywood Video Club,360G-BirminghamCC-ladywood_video_club,2,2500,1250,1500,1000
Ladywood Project,GB-COH-09132500,6,11500,1916,3000,500
Ladywood History Group,360G-BirminghamCC-ladywood_history_group,2,2500,1250,1500,1000
Ladywood Community School Of Music,360G-BirminghamCC-ladywood_community_school_of_music,2,5000,2500,3000,2000
Ladybirds,360G-BirminghamCC-ladybirds,1,250,250,250,250
Ladybird Club,360G-BirminghamCC-ladybird_club,2,500,250,250,250
Kinmos Volunteer Group Limited,GB-CHC-519738,3,243929,81309,116769,58384
Kingstanding Regeneration Trust,GB-COH-06527314,7,85205,12172,44472,500
Kingstanding Nhood Police Initiative,360G-BirminghamCC-kingstanding_nhood_police_initiativ,4,2000,500,1000,250
Kings Norton Farmers Market Cic,GB-COH-05760996,1,7000,7000,7000,7000
Kings Norton Children's Centre,360G-BirminghamCC-kings_norton_childrens_centre,1,27847,27847,27847,27847
Kings Heath Warriors Football Club,360G-BirminghamCC-kings_heath_warriors_football_club,1,500,500,500,500
Kings Heath Residents Forum,360G-BirminghamCC-kings_heath_residents_forum,1,1500,1500,1500,1500
Kings Heath Playcare,GB-COH-03375306,3,2915,971,1935,380
Kings Heath Centre Partnership,360G-BirminghamCC-kings_heath_centre_partnership,3,6000,2000,5000,500
Karis Neighbour Scheme,GB-COH-06595341,1,1500,1500,1500,1500
Kairos Sculpture Ltd,GB-COH-08155334,1,1620,1620,1620,1620
Junk: Rubbish To Gold,360G-BirminghamCC-junk_rubbish_to_gold,1,1845,1845,1845,1845
Jungo Arts CIC,GB-COH-09370744,1,3000,3000,3000,3000
